AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	sample_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
405	SAMD00013551	DRX013575	421	243	DRR015097	DRS013321	SAMD00013551	DRS013321	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
417	SAMD00013551	DRX013575	208	138	DRR015098	DRS013321	SAMD00013551	DRS013321	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
405	SAMD00013551	DRX013575	536	321	DRR015099	DRS013321	SAMD00013551	DRS013321	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
384	SAMD00013544	DRX013576	508	281	DRR015100	DRS013322	SAMD00013544	DRS013322	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
391	SAMD00013544	DRX013576	260	167	DRR015101	DRS013322	SAMD00013544	DRS013322	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
384	SAMD00013544	DRX013576	649	368	DRR015102	DRS013322	SAMD00013544	DRS013322	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
140	SAMD00013554	DRX013577	0	0	DRR015103	DRS013323	SAMD00013554	DRS013323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
139	SAMD00013554	DRX013577	0	0	DRR015104	DRS013323	SAMD00013554	DRS013323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
236	SAMD00013554	DRX013577	644	357	DRR015105	DRS013323	SAMD00013554	DRS013323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
235	SAMD00013554	DRX013577	876	473	DRR015106	DRS013323	SAMD00013554	DRS013323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
317	SAMD00013549	DRX013578	391	234	DRR015107	DRS013324	SAMD00013549	DRS013324	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
319	SAMD00013549	DRX013578	268	179	DRR015108	DRS013324	SAMD00013549	DRS013324	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
384	SAMD00013549	DRX013578	649	368	DRR015109	DRS013324	SAMD00013549	DRS013324	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
255	SAMD00013558	DRX013579	544	309	DRR015110	DRS013325	SAMD00013558	DRS013325	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
255	SAMD00013558	DRX013579	118	74	DRR015111	DRS013325	SAMD00013558	DRS013325	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
376	SAMD00013558	DRX013579	553	330	DRR015112	DRS013325	SAMD00013558	DRS013325	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
247	SAMD00013550	DRX015829	304	199	DRR017535	DRS015319	SAMD00013550	DRS015319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
257	SAMD00013550	DRX015829	244	164	DRR017536	DRS015319	SAMD00013550	DRS015319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
249	SAMD00013550	DRX015829	252	166	DRR017537	DRS015319	SAMD00013550	DRS015319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
386	SAMD00013545	DRX015830	163	110	DRR017538	DRS015320	SAMD00013545	DRS015320	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
397	SAMD00013545	DRX015830	395	272	DRR017539	DRS015320	SAMD00013545	DRS015320	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
391	SAMD00013545	DRX015830	335	225	DRR017540	DRS015320	SAMD00013545	DRS015320	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
241	SAMD00013548	DRX015831	294	192	DRR017541	DRS015321	SAMD00013548	DRS015321	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
250	SAMD00013548	DRX015831	244	163	DRR017542	DRS015321	SAMD00013548	DRS015321	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
242	SAMD00013548	DRX015831	257	167	DRR017543	DRS015321	SAMD00013548	DRS015321	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
234	SAMD00013555	DRX015832	284	177	DRR017544	DRS015322	SAMD00013555	DRS015322	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
242	SAMD00013555	DRX015832	221	141	DRR017545	DRS015322	SAMD00013555	DRS015322	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
237	SAMD00013555	DRX015832	204	127	DRR017546	DRS015322	SAMD00013555	DRS015322	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
278	SAMD00013547	DRX015833	347	226	DRR017547	DRS015323	SAMD00013547	DRS015323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
287	SAMD00013547	DRX015833	274	185	DRR017548	DRS015323	SAMD00013547	DRS015323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
280	SAMD00013547	DRX015833	288	191	DRR017549	DRS015323	SAMD00013547	DRS015323	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
286	SAMD00013543	DRX015834	190	126	DRR017550	DRS015324	SAMD00013543	DRS015324	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
343	SAMD00013543	DRX015834	317	219	DRR017551	DRS015324	SAMD00013543	DRS015324	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
333	SAMD00013543	DRX015834	271	183	DRR017552	DRS015324	SAMD00013543	DRS015324	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
268	SAMD00013553	DRX015835	216	141	DRR017553	DRS015325	SAMD00013553	DRS015325	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
278	SAMD00013553	DRX015835	332	222	DRR017554	DRS015325	SAMD00013553	DRS015325	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
272	SAMD00013553	DRX015835	295	192	DRR017555	DRS015325	SAMD00013553	DRS015325	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
217	SAMD00013556	DRX015836	162	108	DRR017556	DRS015326	SAMD00013556	DRS015326	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
227	SAMD00013556	DRX015836	263	179	DRR017557	DRS015326	SAMD00013556	DRS015326	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
221	SAMD00013556	DRX015836	231	154	DRR017558	DRS015326	SAMD00013556	DRS015326	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
273	SAMD00013559	DRX015837	344	224	DRR017559	DRS015327	SAMD00013559	DRS015327	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
283	SAMD00013559	DRX015837	254	173	DRR017560	DRS015327	SAMD00013559	DRS015327	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
276	SAMD00013559	DRX015837	239	160	DRR017561	DRS015327	SAMD00013559	DRS015327	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
